,price.open,price.high,price.low,price.close,volume,price.adjusted,sale price,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pct change,direction
163,86.260002,87.43,86.050003,86.849998,5214100,86.187943,174.28000,6/7/19,TGT,0.013418932,0.013418915,0.330440279,D
164,87.339996,87.980003,87.150002,87.550003,3019500,86.882607,175.53001,6/10/19,TGT,0.008059874,0.008059931,0.054576008,D
165,88,88.639999,87.629997,87.849998,4285000,87.180313,176.49000,6/11/19,TGT,0.003426532,0.003426556,-0.161605817,E
166,87.910004,88.389999,87.589996,88.260002,3650900,87.587196,176.65000,6/12/19,TGT,0.004667143,0.004667092,-0.408713347,E
167,88.459999,89.150002,87.970001,88.300003,3200300,87.626892,177.45001,6/13/19,TGT,0.000453217,0.000453218,-0.490983105,E
168,88.330002,88.730003,87.269997,87.790001,4300800,87.120773,176.52000,6/14/19,TGT,-0.005775841,-0.005775787,-0.364248792,E
169,87.459999,87.599998,86.279999,87.139999,4194500,86.475731,174.74000,6/17/19,TGT,-0.007403998,-0.007404055,0.106093224,D
170,87.510002,87.610001,86.279999,86.470001,4389100,85.810837,174.08000,6/18/19,TGT,-0.007688793,-0.007688754,0.057715393,D
171,86.540001,86.75,85.629997,86.160004,4088200,85.503204,172.91000,6/19/19,TGT,-0.003585013,-0.003585024,-0.106387058,E
172,86.660004,86.690002,85.480003,86.209999,3814800,85.552818,172.90000,6/20/19,TGT,0.000580259,0.000580258,-0.143579041,E
173,86.360001,88.599998,86.059998,87.599998,7847600,86.93222,176.20000,6/21/19,TGT,0.016123396,0.016123408,-0.400944428,E
174,87.459999,87.989998,86.449997,86.720001,3059000,86.058929,174.71000,6/24/19,TGT,-0.010045654,-0.010045628,-0.025552278,E
175,87.139999,87.25,85.559998,85.699997,5061300,85.046707,172.95000,6/25/19,TGT,-0.011761964,-0.011762039,0.28789789,D
176,86.059998,86.599998,85.529999,85.589996,2978100,84.937546,172.18999,6/26/19,TGT,-0.001283542,-0.001283559,0.335610459,D
177,85.610001,86.190002,85.290001,85.870003,2941600,85.215416,172.06001,6/27/19,TGT,0.003271463,0.003271492,0.467354028,D
178,85.800003,87.129997,85.75,86.610001,5284100,85.949768,173.74000,6/28/19,TGT,0.008617596,0.008617654,0.464392281,D
